index,tweet,max_emotion,sentiment
215,jennifer lopez alex rodriguez wedding way,joy,neutral
216,karrueche tran manager slams chris brown attorney domestic violence real selfpromotion,anger,negative
217,zayn malik gigi hadids shocking split theres chance theyll reunite line,fear,negative
218,beyoncé heading 1 billion divorce,sadness,neutral
219,robyn wife standing kody brown amid sister wives cancellation,sadness,neutral
220,ellen degeneres portia de rossi 10th anniversary disaster,sadness,negative
221,richard gere,neutral,neutral
222,sexy gigi hadid gifs,neutral,positive
223,angelina jolie never considered reuniting brad pitt despite fake news story,sadness,positive
224,spice girls reportedly set 2018 reunion new album,joy,neutral
225,victoria beckham reportedly furious davids female friend,anger,negative
226,animal lover robert pattinson reveals rescue dog became pampered pooch overnight,joy,positive
227,harry styles style icon shania twain,neutral,neutral
228,nick viall vanessa grimaldi split never chance making work,sadness,negative
229,kendall jenner angers modelling community refers working models girls,neutral,negative
230,nicole kidman keith urban gush daughters,joy,neutral
231,new pic katie holmes jamie foxx date breakup ignites criticism,anger,negative
232,brad pitt jennifer aniston getting back together,neutral,neutral
233,well well well justin theroux hanging aubrey plaza,neutral,positive
234,celebrities react white nationalists rally charlottesville va,joy,neutral
235,angelina jolies secret shopping fix target source says,neutral,neutral
236,caitlyn jenner planning nude photo shoot,joy,negative
237,kim kardashian slams liar caitlyn jenner comments late father robert good person,neutral,negative
238,dakota johnson chris martin dating,neutral,neutral
239,demi lovatos sexuality 5 fast facts need know,neutral,neutral
240,fox knew bill oreilly harassment settlement renewing contract,neutral,negative
241,happy birthday kathie lee see kris jenner craig fergusons sweet messages,joy,positive
242,miranda kerr goes kiwi,neutral,neutral
243,ellen degeneres beams wife portia de rossi shows svelte figure black frock premiere party,joy,positive
244,britney spears bf craziest couples workout youve ever seen,joy,negative
245,kanye west admits hurt jayz beyonce missed kim kardashians wedding,sadness,negative
246,inside ben affleck jennifer garners divorce oneyear anniversary filing,sadness,neutral
247,brad pitt uni professor neri oxman seeing six months following angelina jolie split,sadness,neutral
248,mariah carey forbidding bryan tanaka seeing without clothes makeup debunked,neutral,negative
249,hoda kotb says still keeps touch matt lauer today show firing,neutral,negative
250,josh duhamel playing stepdad jennifer garner ben affleck kids,neutral,positive
251,beyoncé jayz spend 10 million newborn twins,joy,neutral
252,new girlshow suffering costars zooey jakes feud setnot affair fight zooeys pregnancy mood swings married biography,sadness,negative
253,ryan gosling mourns loss beloved dog promoting bladerunner 2049,sadness,positive
254,breathe review andrew garfield fronts poignant biopic wheelchair pioneer,sadness,neutral
255,prince harry meghan markle wed may 19 2018,neutral,neutral
256,selenas hell gomez goes rehab friends fear another drug relapse,fear,negative
257,jennifer aniston reveals struggles dyslexia anger shrugs oscar snub,anger,negative
258,beyonce fans beg tell us shes pregnant performance bodysuit see tweets,neutral,neutral
259,tom cruise dating disguise women chosen scientology quite yet holmes queen secret romance,neutral,positive
260,billy bush begging dwts 2017 update,neutral,neutral
261,katie holmes,neutral,neutral
262,selena gomez weeknd working movie together,joy,neutral
263,brad pitt jennifer aniston might see film festival,surprise,positive
264,brad pitt secret love child,joy,positive
265,cougar angelina jolie sinks claws hottie garrett hedlund,sadness,neutral
266,isnt gwen stefani coaching voice season 13 could come back know,neutral,neutral
267,angelina jolies french obsession,neutral,negative
268,jennifer lopez alex rodriguez celebrate christmas miami families,joy,positive
269,roles actors actresses nearly played,surprise,positive
270,selenas hell gomez goes rehab friends fear another drug relapse,fear,negative
271,kanye west fans planning hey mama day response taylor swifts upcoming album release,neutral,neutral
272,justin bieber wants get back together selena gomez,sadness,neutral
273,beyonce husband jayz experienced difficult delivery birth twins lot drama exclusive,joy,negative
274,margot robbie net worth,neutral,positive
275,michael strahan sam smith,neutral,neutral
276,miranda lambert anderson east copying blake shelton gwen stefani duet,neutral,neutral
277,gigi hadid begs zayn malik quit touring due severe panic attacks exclusive,fear,negative
278,angelina jolie secretly dating handsome older guy,joy,positive
279,karrueche tran granted five year restraining order chris brown,neutral,positive
280,girl crush eleven reasons love adore angelina jolie,joy,positive
281,rihanna shocked secret child chris brown,surprise,negative
282,brad pitt still single despite rumors hes dating mit professor neri oxman,sadness,neutral
283,brad pitt accused child abuse investigation,disgust,negative
284,leo dicaprio teases first pic brad pitt looking like retro honeys new film,neutral,positive
285,angelina jolie forced hand kids brad pitt amid custody battle exclusive,sadness,negative
286,selena gomez wasnt woman justin bieber,surprise,neutral
287,selena gomez justin bieber epic new years eve plans,joy,neutral
288,watch blake shelton performs underwear sorta,neutral,neutral
289,chris pratt files divorce anna faris,neutral,neutral
290,brad pitts rumored girlfriend assisting actors sobriety amid angelina jolie divorce,sadness,neutral
291,thomas markle prince harry politics missing daughter meghans royal wedding,sadness,negative
292,brad pitt rents summer love nest brainy beauty,joy,positive
293,kim kardashian admits selfie obsession bit ridiculous,anger,negative
294,camilla eugenie attack kate meghan shock public row,fear,negative
295,meghan markle prince harry infatuated still getting know,anger,positive
296,justin theroux looks far glum jennifer aniston split shows guns coffee date,neutral,negative
297,stop asking scott eastwood star wars,neutral,negative
298,taylor swift upset ed sheeran slept members girl squad truth,neutral,positive
299,caitlyn jenners reassignment surgery inside reclusive healing process,neutral,neutral
300,kim kardashian reveals limit kids kanye west,surprise,neutral
301,kim kardashian considering leaving kanye west latest outburst exclusive,neutral,positive
302,brad pitt rare disease,sadness,neutral
303,fifty shades dakota 15 things people dont know dakota johnson,surprise,neutral
304,tom arnold says michael cohen taking donald trump amid plea deal,sadness,neutral
305,president trump attacks lunatic notalent dumbest person tv,anger,negative
306,chris brown soulja boy feud karreuche tran,anger,negative
307,jerry oconnell knew wasnt going get job live kelly,sadness,neutral
308,jayz views kanye west pesky fly,anger,negative
309,digital diva inside caitlyn jenners secret cyber hookups,neutral,neutral
310,jlo wild arods passionate kisses make outs next level,joy,positive
311,caitlyn jenner going celebrity big brother,neutral,neutral
312,chris martin dakota johnson ready move together,neutral,positive
313,jennifer anistons shock news pregnant hiding,surprise,negative
314,meghan markle kate middleton friendship exaggerated,neutral,positive
315,kim kardashian kanye wests new baby girl born via surrogate,joy,neutral
316,us report jennifer aniston dumped 49th birthday,sadness,negative
317,taylor swift conor kennedy split amid claims singer came strong obsessed kennedys,sadness,positive
318,anna faris focused healing broken heart chris pratt split time,sadness,negative
319,richard gere dumps julia roberts,neutral,negative
320,roseanne pushing kabbalah costars despite reports,anger,neutral
321,wonder wheel film,surprise,neutral
322,kelly clarkson jennifer hudson returning coach voice season 15,neutral,neutral
323,michelle pfeiffer covers face public hide wrinkles,neutral,negative
324,star bodies get gwen stefanis rock hard abs 3 simple exercises,neutral,negative
325,whats covfefe trump tweet unites bewildered nation,surprise,neutral
326,meghan markle easier ride prince harrys royal family regarding future,joy,positive
327,kate middleton never jealous meghan markle heres,neutral,positive
328,ellen degeneres wife portia de rossi makes cry 60th birthday gift,sadness,negative
329,brad pitt jennifer lawrence dating,neutral,neutral
330,jon hamm talks jennifer westfeldt split,sadness,neutral
331,taryn manning leaving orange new black,neutral,neutral
332,taylor swift selena gomezs friendship stronger ever,joy,positive
333,ben afflecks history alcohol addiction timeline actors struggles road recovery,neutral,negative
334,secret donald trump rudy giuliani know russia probe,neutral,neutral
335,house divided costars ferrell amy poehler cant stand,neutral,neutral
336,angelina jolie headed physical meltdown actress going without food sleep,sadness,neutral
337,jennifer lopez alex rodriguez avoid runin casper smart,neutral,positive
338,angelina jolie gets new divorce lawyer amidst custody battle brad pitt,sadness,negative
339,justin bieber selena gomez taking spacebut dont call breakup,sadness,neutral
340,miley cyrus liam hemsworth married new years truth finally revealed,joy,positive
341,sofia richie channeling kourtney kardashian,neutral,neutral
342,kim kardashians new nude pics part sexy flirtatious game kanye west,joy,positive
343,scott disick sofia richie reached another relationship milestone,joy,positive
344,voice voice team surprised surprised adam levine behati prinsloo pregnant blake shelton gwen stefani,surprise,positive
345,miley cyrus says respects artists speak truth negative rap comments,anger,negative
346,chris brown scared lyrics,fear,negative
347,queen orders meghan markle royal bootcamp,neutral,neutral
348,beyoncé afraid jay z cheat,fear,negative
349,real housewives harry hamlin stands behind wife lisa rinna following outburst,anger,neutral
350,caitlyn jenner abused leaves lgbt awards london,sadness,negative
351,alex rodriguez slams report hes threatening cut child support payments,fear,negative
352,jamie foxx walks espn interview katie holmes relationship questions,joy,neutral
353,everything know jennifer aniston justin therouxs split,neutral,neutral
354,caitlyn jenner reportedly thinks kim kourtney kardashian setting poor example children,neutral,negative
355,justin bieber retiring google alert,neutral,positive
356,kris jenner wants paris jackson join keeping kardashians amid ratings woes,sadness,negative
357,ben affleck got big batman v superman,neutral,neutral
358,angelina jolie wont let oldest child maddox date hes happy,sadness,positive
359,ben affleckjennifer garner split actress ready divorce batman star,joy,positive
360,rihanna engaged secret plans elope secret plans elope madeup,neutral,positive
361,timeline harry styles james cordens late late show bromance,joy,neutral
362,blake shelton embarrasses gwen stefani onstage talks first started mess around together,sadness,negative
363,kris jenner afraid sue employee even theyre poor well take payments garner wages thejasminebrand,fear,negative
364,5 tom cruise dating rumors stop believing,neutral,negative
365,inside chaos brad pitt angelina jolies parenting six children knives tempers school,sadness,negative
366,mariah careys boy toy demands big bucks continue reality romance,neutral,positive
367,oliver hudson jokes kates rumored romance brad pitt,joy,positive
368,gwen stefani top 2017 expecting twins blake shelton,joy,positive
369,donald trump kicked one direction hotel refusing meet daughter,anger,negative
370,inside kim kardashians nasty split bff assistant stephanie shepherd,disgust,positive
371,khloe kardashian claps back plastic surgery rumours pregnancy lips claim,neutral,neutral
372,angelina jolie new man life guess,neutral,neutral
373,live stream trumps lawyer responds james comey testimony,neutral,neutral
374,pregnancy nightmare khloe kardashian riddled anxiety isolated expecting,fear,negative
375,katie holmes jamie foxx expecting baby new report claims want start family,joy,positive
376,celebrity holiday cards 2017 currys kardashians send seasons greetings,joy,positive
377,brad pitt jennifer aniston rekindle romance despite justin theroux love duo caught kissing rumors,sadness,positive
378,khloe kardashian give birth easter despite report,sadness,neutral
379,brooklyn beckham reportedly dropped us college due homesickness,sadness,negative
380,brangelina industry jennifer aniston brad pitt angelina jolie keep making headlines,neutral,neutral
381,kendall jenner tells friends ban taylor swift music else,sadness,positive
382,13 celebrities told lose weight yep really,surprise,negative
383,kelly ripa ryan seacrest feuding honeymoons,anger,negative
384,george clooneys game thrones crush blows,anger,negative
385,blake shelton miranda lambert supporting breakups exclusive,neutral,positive
386,angelina jolie brad pitt divorce papers first look legal documents,neutral,positive
387,jlo arod bought penthouse together insane,surprise,negative
388,oj simpson demanding meet khloe kardashians baby per radar online,neutral,negative
389,kylie jenner finally broke hired nannies stormi insisting wouldnt,neutral,negative
390,johnny depp sues business managers 25m fraud,anger,negative
391,kristen stewart bad tipper despite report,sadness,negative
392,date night katie holmes goes dinner mystery man,surprise,neutral
393,summer music preview drake nicki minaj ariana grande much kanye,neutral,neutral
394,ben affleck jennifer garner finalize divorce 3 years split,sadness,neutral
395,celebrities react prince harry meghan markles royal wedding,joy,neutral
396,butterfly baby kim kardashian west shares new video adorable daughter chicago,joy,positive
397,nicole kidman helping isabella cruise adopt child report,neutral,positive
398,justin theroux petra collins rumored dating,neutral,neutral
399,cop celebrates 9th anniversary reaffirms commitment transparent factchecking,joy,positive
400,pregnant still thin,sadness,neutral
401,angelina jolies parental choices must really worried judge overseeing brad pitt custody fight experts say,fear,negative
402,martin landau dead celebrities react,anger,negative
403,kylie jenner khloe kardashian share odd pregnancy cravings peanut butter pickles,neutral,negative
404,sun brad pitt absolutely want introduce neri oxman six kids,joy,positive
405,order succession british throne,neutral,positive
406,kate middleton first days baby 3,neutral,neutral
407,brad pitt reportedly majorly crushing margot robbie hes smitten,sadness,negative
408,connecting people news,neutral,neutral
409,chris pratt coffee date mystery blonde,neutral,neutral
410,kristen stewart robert pattinson spark reconciliation rumors la sighting,neutral,positive
411,50cent exec bet speculating hes relationship jasmin brown,neutral,neutral
412,alexander skarsgard gushes tarzan costar margot robbie,neutral,neutral
413,yikes mariah carey reportedly sex bryan tanaka restaurant bathroom,neutral,neutral
414,kanye west leaves kim kardashian massive fight stormed leaving kim tears exclusive,anger,negative
415,kaley cuoco gives update shoulder surgery recovery ice best friend,neutral,positive
416,simon cowell reportedly ban kids americas got talent,sadness,negative
417,beyonce jayz building million dollar nursery twins,joy,neutral
418,gal gadots daughters impressed mums wonder woman character,surprise,positive
419,miranda lambert anderson east wedding,joy,neutral
420,reese witherspoon nicole kidman emmys feud made tabloid,neutral,negative
421,drake referring bella hadid fling finesse,neutral,neutral
422,rumor review denzel washington supports trump false news literacy project,anger,positive
423,inside fabulous first year george amal clooneys twins,joy,positive
424,kelly ripa leaving live relationship ryan seacrest may unicorns rainbows,joy,neutral
425,princess kate bulimia battle shocking new photos,fear,negative
426,guide increasingly intense brad pittangelina jolie divorce drama,anger,positive
427,authorities responded scott disicks home august possible psychiatric hold reports,neutral,neutral
428,gwen stefani got dumped blake shelton jealousy drama exclusive,sadness,negative
429,angelina jolie takes break nasty brad pitt divorce fight plead syrian refugees,anger,negative
430,jennifer aniston upset selena gomez siding justin theroux,anger,negative
431,kylie jenner hit split claims travis scott,neutral,neutral
432,justin bieber botches bst hyde park concert,neutral,neutral
433,ariel winter ready marry levi meaden kids sooner later plans revealed,joy,positive
434,justin bieber selena gomez spending christmas together heartbreaking reason,sadness,negative
435,leaving jennifer aniston angelina jolie one biggest mistakes brad pitt,sadness,negative
436,biggest celebrity feuds 2017,anger,negative
437,celebrity blog brad pitt angelina jolie continue divorce talks privately,joy,neutral
438,sofia vergara joe manganiello slam magazine report claiming cheated broke,sadness,negative
439,would justin bieber gucci mane guys wore mangagement rings,neutral,neutral
440,celebrities salute troops veterans day,joy,neutral
441,miley cyrus liam hemsworth honeymoon,joy,neutral
442,welcoming baby together joint gq cover inside kylie jenner travis scotts whirlwind romance,joy,positive
443,meghan markles father breaks silence wedding really wanted walk aisle,sadness,neutral
444,prince harry quotes leaving royal family june 2017,joy,neutral
445,julia roberts,neutral,neutral
446,prince harry meghan markle shunning shunning pippa middleton wedding madeup,sadness,neutral
447,justin bieber slams hollywoodlife claims site untruthful hurtful,anger,negative
448,bradley cooper role new comedy hangover part ii npr,joy,positive
449,scary skinny angie sick,fear,negative
450,2017 oscar nominee reactions,neutral,neutral
451,rihanna plastic surgery photos,neutral,neutral
452,taylor swift expose elite pedophiles satanic illuminati fake news,fear,negative
453,teen choice awards 2017 winners complete list,neutral,positive
454,taylor swift katy perry history feud,anger,negative
455,10 real feelings watching harry meghan royal romance,sadness,positive
456,rachel weisz splits darren aronofskydoes daniel craig figure,neutral,neutral
457,rihanna sports possible baby bump secret photo shoot pics,joy,negative
458,perform satanic destruction ritual ali kellog medium,disgust,negative
459,kylie jenner gives birth travis scott kylie baby details revealed,joy,neutral
460,kuwk kourtney creeped scott disicks gf sofia richie morphing feels like hes manipulating girl,sadness,neutral
461,top gun 2 cast tom cruise begging actress star sequel husband opposes,neutral,negative
462,justin bieber posts picture acne instagram,neutral,neutral
463,jennifer aniston brad pitt apparently text,neutral,neutral
