tweet,max_emotion,sentiment
health authorities say drinking water prevent coronavirus,neutral,positive
nein uvstrahlung hilft nicht gegen covid19,neutral,neutral
eylül ortasna kadar sokaa çkma yasa uygulanaca ddias,fear,neutral
pacific governments accused using coronavirus crisis cover media crackdown,anger,negative
tanzanias president hasnt banned face masks,neutral,positive
nocomacuento hay pruebas de que el clorito de sodio acabe con el covid19 como afirma rolando araya,fear,neutral
farting negate use masks prevent covid19,neutral,positive
trump hahn mischaracterize data covid19 convalescent plasma,neutral,neutral
keine belege dafür dass das coronavirus bei hitze nicht länger als vier minuten überlebt,neutral,neutral
coronavirus video e le foto delle auto coda per la pasqua tra bufale disinformazione e realtà,neutral,neutral
josé maría aznar se ha saltado el confinamiento para asistir una charla de isabel díaz ayuso la sesión se celebra online,neutral,positive
brigitte macron demandé au professeur raoult de soigner sa fille un poisson davril de lextrême droite,anger,neutral
yeni koronavirüsün asnn bulunduu iddias,neutral,neutral
cambridge covid19 test results dont mean pcr tests inaccurate,sadness,neutral
con el decreto 497 de 2020 el gobierno ordenó cuarentena obligatoria partir del 1 de noviembre,neutral,neutral
faux emmanuel macron na pas menacé de refuser le visa aux africains qui nauraient pas reçu un vaccin européen,anger,neutral
bat soup dodgy cures diseasology spread coronavirus misinformation,disgust,negative
video circulated media reports man subway train brussels,neutral,neutral
désintox non lartemisia na pas été reconnu comme remède contre le covid par loms,neutral,neutral
les lieux culturels sontils fermés partout en europe comme laffirme le premier ministre,neutral,neutral
coronavirus serve lesercito strada il falso virgolettato attribuito piero angela,neutral,neutral
wuhan coronavirus nothing 5g,neutral,neutral
flu covid19 statistics published one report added together,neutral,negative
fact check doctors paid falsify death certificates pump covid death toll 16fold,neutral,negative
novel coronavirus pakistani officials deny issued warning dangers eating goat meat,fear,negative
salah himbauan dokter bernard mahfoudz,neutral,neutral
russias sechenov university completed covid vaccine clinical trials media misreports,neutral,neutral
sanità calabria quando il nuovo commissario zuccatelli disse le mascherine non servono un cao il video,neutral,neutral
material jornalístico produzido pelo estadão é protegido por lei regras têm como objetivo proteger investimento feito pelo estadão na qualidade constante de seu jornalismo para compartilhar este conteúdo utilize link,neutral,neutral
non emmanuel macron na pas interdit lentrée en europe aux africains non vaccinés,neutral,neutral
diese benachrichtigungskarte vom whoimpfteam ist satire,anger,neutral
trump misleads reasons falling covid19 fatality rate,neutral,negative
immanuel vindicated france hasnt approved hydroxychloroquine covid19 treatment drug found harmful,anger,positive
senegalese children die coronavirus vaccine yet exist,sadness,negative
la oms ha pedido evitar tener sexo sin protección con animales para evitar el contagio de coronavirus es una imagen manipulada,neutral,negative
benarkah ahli virus cina klaim covid19 hasil persekongkolan jahat,neutral,neutral
verificamos execução em vídeo viral não é de jornalista que denunciou superfaturamento na pandemia,disgust,neutral
coronavirus de dónde surge el dato de fernández de que la argentina es uno de los 5 países que más preservó el empleo durante la pandemia,fear,neutral
mumbai police rubbishes viral message timings essential items sold,neutral,neutral
clear go travel users experiencing symptoms suggestive coronavirus infection,fear,positive
coronavirus fare il vaccino antinfluenzale ci mette rischio contagio,neutral,neutral
businesses offering coronavirus services popping houston consumers need careful,neutral,positive
qué sabemos sobre la autoría del audio que habla del confinamiento que se atribuye al magistrado de tarragona ángel martínez sáez él asegura que es suyo,disgust,neutral
health experts say drinking water every 15 minutes prevent coronavirus infection,neutral,positive
false currently vaccine covid19,neutral,neutral
nein polizei berlin ruft bevölkerung nicht dazu auf coronaverstöße von gaststätten zu melden,neutral,neutral
coronavirus la cannabis potrebbe prevenire linfezione non è ancora stato dimostrato,neutral,neutral
palm oil simple solution coronavirus,neutral,positive
nein die coronawarnapp nutzt keine persönlichen kontaktdaten,neutral,negative
generally deaths still pretty flat weve flattened curve,sadness,positive
eduardo bolsonaro posta video antigo sobre liberacao da chloroquina,neutral,neutral
misinformation pandemic scarier covid19 pandemic,fear,negative
zitat von bill gates zum gewinn durch investitionen impfungen wurde aus dem kontext gerissen,neutral,neutral
chinarelated covid19 rumors busted 5,anger,neutral
fact check cdc say common cold counted positive covid19 result,neutral,positive
qanon fueled hoax oprah arrested,neutral,negative
coronakrise nein ursula von der leyen hat nicht dazu aufgerufen für die wirtschaft auf lohn zu verzichten,neutral,negative
coronademo nein der polizist vor dem reichstag ist kein schauspieler,neutral,neutral
french hospital authority said video shows frenchmade medical gowns damaged storage,anger,negative
plandemic judy mikovitsin iddialar,neutral,neutral
government planning roll untested covid19 vaccine,neutral,neutral
aarp didnt endorse biden say anyone older 75 die,neutral,negative
coronavirus un video mostra cadaveri ammassati terra nellospedale di bergamo di brescia fatto ecuador,neutral,neutral
false agency people disabilities running program support special needs children covid19 crisis,neutral,positive
doesnt claim asymptomatic patients cannot spread covid isolation still advised,neutral,positive
hay patente en países bajos de una métedo para testear el covid19 desde 2015,neutral,neutral
detector ei instituto de virología de wuhan tiene relación con las farmacéuticas gsk pfizer,neutral,neutral
çinde vahi hayvan pazarlar yeniden mi açld,neutral,neutral
keine belege für angebliches zitat von putin zu impfungen und fast food als gefährliche drogen,neutral,neutral
photo shown overgrown shrubs malaysian theme parks escalator,anger,neutral
el ministerio de sanidad español ha emitido ninguna notificación de emergencia sobre que el brote de coronavirus es muy grave mortal fecha de 29 de enero de 2020,fear,negative
coronavirus le asl e il complotto dei falsi positivi casi di arezzo e montevarchi,fear,neutral
would pay 550 usb drive,neutral,negative
viral facebook post cost binned test trace app wrong,neutral,negative
unrelated photos shared covid19 hospitals flooded bihar,sadness,positive
verificamos el video de un hombre retirado vivo de una tumba es viejo tiene relación con la pandemia de covid19,neutral,neutral
hay 100 casos de niños con coronavirus en el hospital del niño de breña,sadness,neutral
irgc commander unveils virus finder antenna,neutral,neutral
nonprofit hospital pakistan refutes misleading claim charged patients covid19 tests,anger,negative
video predates indian prime minister narendra modis call covid19 vigils,neutral,neutral
non franceinfo na pas annoncé un décret de confinement total,sadness,neutral
coronavirus tu queste domande te le sei fatte il video dello youtuber osservatore che disinforma,neutral,neutral
conspiracy theory falsely connects george soros covid19,anger,negative
coronavirus rumours hit mumbai hotels westin fatty bao,fear,neutral
corona nein der bundestag hat nicht beschlossen den ausnahmezustand bis 2022 zu verlängern,neutral,neutral
türkiyenin çinden siparii veren tek ülke olduu iddias,fear,neutral
nein diese grafik beweist nicht dass das world economic forum die coronapandemie geplant hat,neutral,negative
photo rohingya muslims shared plight migrants lockdown,fear,positive
fake news18 screenshot shared claim 57 covid deaths comedk exam karnataka,neutral,negative
hay sustento científico que afirme que la barba el bigote son lugares de reproducción del coronavirus,neutral,neutral
désintox non le port du chapeaufrite nest pas obligatoire pour sinstaller à une terrasse de café en allemagne,neutral,neutral
coronavirus russia denies spreading us conspiracy social media,neutral,negative
posts claim children covid19 must go hospitals alone,sadness,negative
la oms ha confirmado que la gripe es más letal que la covid19,neutral,positive
facebook posts falsely claim us arrested chinese scientist created coronavirus,anger,negative
false pcr test also detects common cold viruses,neutral,neutral
consumir dióxido de cloro cura el coronavirus es peligroso para la salud,neutral,neutral
johnson meeting covid mp follow government guidance,neutral,neutral
un amuleto contro il coronavirus alla camera la surreale proposta del presidente di innovapuglia il video,neutral,neutral
coronavirus luso scorretto delle foto per contestare le misure contro la diffusione del covid19,neutral,neutral
el bulo del vagón de tren con la inscripción covid19,neutral,neutral
versteckte impfpflicht für reisende drittes bevölkerungsschutzgesetz wird irreführend interpretiert,neutral,neutral
recovery rate covid19 texas,neutral,neutral
talyan milletvekilinin bill gates yeni koronavirüse dair iddialar,neutral,neutral
las afirmaciones falsas engañosas del médico español que llama usar en forma experimental el dióxido de cloro,neutral,neutral
video circulated online reports black friday shopping brazil november 2019,neutral,neutral
video shows interfaith prayer italy remembrance covid19 victims,joy,negative
coronavirus la rdc na pas autorisé la réouverture des bars et discothèques,neutral,neutral
china seeking courts approval kill 20000 coronavirus patients,sadness,negative
sekolah malaysia tutup dan akan buka pada januari 2021,neutral,neutral
nocomacuento es falso que este miércoles entra regir un toque de queda por 14 días en costa rica,neutral,neutral
dakwaan nota suara kononnya terdapat jangkitan covid19 di masjid bagan dalam adalah tidak benar,neutral,neutral
tour de france 2020 des personnalités ontelles omis de porter leur masque à nice,neutral,positive
ni el expresidente ni el exvicepresidente de la farmacéutica pfizer han dicho sobre el coronavirus que hay necesidad de vacuna la pandemia ha terminado,sadness,positive
indian army dispatching team deployed sri lanka fight covid19,neutral,negative
misinformation circulates online covid19 cases lockdown measures asia,fear,negative
australias department health issue warning using petrol pumps spread covid19,fear,negative
new zealand mps ordered take pay cut uk mps awarded 10000 bonus,surprise,positive
pueden los perros oler el coronavirus se los está entrenado pero por ahora hay resultados,neutral,neutral
il video complottista che accusa gli americani coronavirus è stato il pipistrello,neutral,neutral
covid19 nasal swab test cause risk infection,fear,negative
toque de queda 24 horas en guayaquil,neutral,neutral
coronavirus nein masken schwächen nicht das immunsystem,neutral,neutral
waspada sindiket penipuan yang meminta maklumat peribadi dan bayaran bagi menjalani ujian saringan covid19,neutral,neutral
janet museveni wife ugandan president covid19 tweet fake,neutral,negative
sputnik coronavirus could designed kill elderly italians,fear,negative
désintox non agnès buzyn na pas soigné certaines personnes avec de la chloroquine,neutral,neutral
saline solution kills china coronavirus experts refute online rumour,neutral,negative
bir köpein yeni koronavirüs nedeniyle öldüü iddias,neutral,neutral
meme show fullystocked shelves swine flu pandemic,surprise,negative
coronavirus es falsa la cadena de la doctora gonzález ayala que circula por whatsapp,neutral,neutral
new coronavirus hasnt killed millions photo art project,sadness,positive
stations de ski les cas de covid19 sontils deux fois plus élevés en suisse quen hautesavoie,neutral,neutral
jumlah penganguran terus meningkat dan tertinggi dalam sejarah,neutral,neutral
south african coronavirus lockdown procedures correct use official regulations instead,neutral,neutral
taliban sopooksman said taliban leader spired covid19,sadness,neutral
el mensaje falso en el que se afirma que las pcr diferenciaban la covid19 de la gripe hasta ahora,fear,neutral
faux lapplication dun des gestes barrières nappelle à lexclusion dautres mesures preventives contre la covid19,neutral,neutral
man goa come innovative way make people stay indoors,neutral,positive
faux le gouverneur de kinshasa na pas dit que la réouverture des églises nest pas une priorité,anger,neutral
fact check supporting evidence heroin killed people yesterday coronavirus,sadness,negative
la mujer fue detenida por discutir con empleados el video muestra dos incidentes diferentes,anger,neutral
video shows police officers arresting protesters hong kong august 2019,anger,negative
désintox la gratuité des masques à lécole est pratiquée dans dautres pays et même en france,neutral,neutral
dieses foto zeigt keine kürzliche trauerfeier einer clanfamilie berlin sondern entstand schon 2018,neutral,neutral
distressing claims children diagnosed covid19 would transported hospital treated without parents present spread australia going viral uk us,surprise,negative
fotorafn koronavirüsten etkilenen insanlar gösterdii iddias,neutral,neutral
clintons arent responsible deaths coronavirus,neutral,negative
rawatan pesakit kanser ditangguhkan kerana faktor lain bukan kerana jangkitan covid19 atau hospital tutup,neutral,neutral
beber água de 15 em 15 minutos cura coronavírus é fake news,anger,negative
staged car crash filmed 2018 movie chinas heilongjiang province,fear,negative
gobierno publicó plan de cuatro fases para la flexibilización de la cuarentena,neutral,neutral
fotoraftaki çocuun prof dr uur ahin olduu ddias,fear,neutral
este policía de la cdmx ni murió ni fue diagnosticado con covid19 se insoló,neutral,neutral
photo covid19 train tanker manipulated,neutral,negative
afdpolitiker beschuldigt fridays future,neutral,neutral
hoax audio claiming someone sources pentagon spread online across group chats mirrors hoax texts attributed authorities since disavowed,neutral,negative
picture shows work makeup artist infected hand,disgust,neutral
retracted paper linking 5g coronavirus evidence rounds facebook,neutral,neutral
neither doctors food supplies lithuania,neutral,neutral
coronavirus victims photo people killed 2004 tsunami,fear,negative
la covid19 es un pretexto para vacunarnos con inteligencia artificial,neutral,neutral
coronavirus receta casera de una dirigente de fútbol tarijeña se viraliza en redes,neutral,neutral
food parcels south africas coronavirus lockdown ignore fake messages call 0800 601 011 instead,neutral,negative
photo circulated reports couple airport barcelona march 2020,joy,neutral
coronavirus fact check covid19 attack cardiovascular system heres know,neutral,negative
cumhurbakanl covid19 normalleme plan olduu öne sürülen doküman,neutral,neutral
hemingway phrase misrepresented trump biden statement covid19 death toll,sadness,negative
evidence tying bill gates 100 billion covid19 deal outbreak,neutral,neutral
dünya salk örgütü temsilcisinin covid19 asnn gelitirilemeyeceini söyledii iddias,neutral,neutral
vrai ou fake les contrevérités du web,neutral,negative
vídeo vitamina e prevenção novo coronavírus é fake news,anger,negative
existen vacunas caseras contra el coronavirus son correos maliciosos,neutral,neutral
video fransada salgndan dolay abye tepki olarak bayrak indirildiini göstermiyor,neutral,neutral
australian couple quarantined onboard diamond princess cruise reveal wine drone delivery story prank,fear,positive
false bill gates melinda gates anthony fauci charged genocide,anger,negative
covid19 nein die eu hat keine ausnahmeregelung für einen mrnaimpfstoff erlassen,neutral,negative
non cette vidéo ne montre pas des policiers hongrois enlever des personnes âgées pour les mettre en quarantaine,fear,neutral
pemberian elaun sebanyak rm3000 kepada sesiapa yang dibuang kerja semasa tempoh pkp daripada perkeso adalah palsu,neutral,neutral
partly false tanzanias safe travels stamp linked eradicating covid19,neutral,positive
covid ends next wednesday,neutral,neutral
ha fallecido una menor de 13 años en portugal por una parada cardiorespiratorria asociada al uso de mascarilla,neutral,positive
dakwaan bahawa pkpb akan dikuatkuasakan di negeri kelantan pada 17 november 2020 adalah tidak benar,neutral,neutral
nezle olmann covid19dan koruduu iddias,neutral,neutral
misleading coronavirus information falsely attributed johns hopkins,neutral,negative
fakta atau hoaks benarkah 48 warga korsel tewas usai terima vaksin covid19,neutral,neutral
covidwatch tankers allowed dock singapore virus,neutral,neutral
covid19 kills far 01 people catch,neutral,negative
four kids took coronavirus vaccine died immediately,sadness,negative
money help madagascar fight outbreak produce cure,neutral,positive
nos 36 réponses à vos questions sur la pandémie de covid19,neutral,neutral
las vacunas que utilizan adenovirus como sputnik v se integrarán tu genética,neutral,neutral
viral unggahan diagnosis berkode cvd dikira covid19 ini penjelasan dokter,neutral,neutral
la guardia civil ha publicado este cartel de un supuesto inmigrante con covid19 huido en calpe alicante es una falsa alarma que ya ha circulado en otros lugares,fear,positive
false dr anthony fauci said covid19 vaccine must delivered people without proper studies carried,neutral,neutral
donald trump didnt tweet israel coronavirus vaccine,neutral,neutral
verificamos pastor que ofrece máscara invisible por r 300 es en verdad humorista,neutral,neutral
coronavirus un audio en whatsapp exagera el número de casos en prevent senior,neutral,positive
certificación de inciensa que circula en redes habla de cantidad de pruebas de casos positivos de covid19,neutral,neutral
facebook post falling flu pneumonia deaths wrong,sadness,negative
fact check clip 2013 korean movie flu gets viral visuals italy,neutral,negative
por qué el biomagnetismo te va curar ni proteger del coronavirus ni de ninguna otra enfermedad es una pseudoterapia,neutral,neutral
sumak suyunun yeni koronavirüsü yenmede etkili olduu iddias,neutral,neutral
clarification regarding falsehood published national university singapore society nuss online citizen asia toc cna new naratif moms advisory testing migrant workers,anger,neutral
máscaras de doação da china são contaminadas com coronavírus é fake news,anger,negative
adidas está donando zapatillas en una campaña contra el coronavirus,neutral,neutral
message claiming coronavirus last 8 hours air misleading,anger,negative
es engañoso el posteo que asegura que el humo del cigarrillo transmite el coronavirus,neutral,neutral
claim posted facebook 500 body bags delivered ice rink adelaide false,neutral,neutral
warm water salt vinegar wont keep safe coronavirus,neutral,negative
dados sobre novo coronavírus na china é fake news,anger,negative
cifras del covid19 por parroquias en pichincha,neutral,neutral
hoaks atau fakta benarkah terjadi pesta homoseksual di italia sebelum wabah covid19 merebak,neutral,neutral
israel encontró la cura para el covid19,neutral,neutral
según expertos el remedio con saúco jengibre pimienta miel que difundió el presidente de venezuela cura el covid19,anger,neutral
heparina para tratar covid19 publicaciones usan información fuera de contexto,neutral,neutral
mullah saying corona virus infidels,neutral,neutral
non une marque de gel hydroalcoolique nest pas responsable de ces spectaculaires cloques,neutral,neutral
false letter directing ugandan landlords stop collecting rent due covid19 authentic,anger,negative
vera files fact check pacquiao wrong ph dealing coronavirus issue since january,neutral,negative
benarkah jemaah sumbar tetap berangkat haji berkat lobi khusus dengan kerajaan saudi,neutral,neutral
çinli virolog limeng yangn koronavirüsün insan yapm olduu iddias,neutral,neutral
declaraciones de la coalición mundial por la salud la vida sobre covid19 son engañosas,neutral,neutral
health experts warn using water ablution ritual alone cannot kill novel coronavirus,fear,positive
holocaust comparison misleading facebook post claims bill gates seeks digital tattoos,anger,negative
verificamos foto de flávio dino sem máscara em velório é antiga e sem relação com morte seu pai por covid19,fear,neutral
respirar al aire de guayaquil provoca contagio de covid19,neutral,neutral
chopped fake photos bats delicacy southeast asian countries pacific islands china cant contract virus consuming cooked meats,neutral,negative
nein der japanische immunologe tasuku honjo sagte nicht das coronavirus sei nicht natürlich,neutral,neutral
govt official breaks maharashtras covid crisis factcheck,neutral,negative
false post claiming raila odinga donated ksh152 million help fight covid19 factual,neutral,positive
antivaxxers say wa death certificate guidelines suggest covid19 death rate overstated experts beg differ,neutral,negative
international health advisories contradict false claim runny nose coronavirus symptom,neutral,negative
koronavirüsle ilgili salk tavsiyeleri veren whatsapp mesaj,neutral,neutral
2013 video unclaimed bodies osmania hospital given covid19 spin,sadness,neutral
cnn reported due covid19 president donald trump passes away 74,sadness,neutral
post falsely claims people report pennsylvania stores refuse serve maskless customers,neutral,negative
video shows fbi agents seizing masks alleged price gouger,anger,neutral
non la fédération de la pêche na pas les compétences pour interdire la pêche,disgust,neutral
la vidéo du semblant dinjection de la première ministre du queensland est truquée,disgust,neutral
sarscov2den farkl bir virüsün mutasyon geçirerek 10 kat daha bulac hale geldii iddias,neutral,neutral
es falso que hay que salir ni por el pan,neutral,neutral
false fake news time new cases decreasing 16 states 18 include puerto rico guam,neutral,negative
fact check trump tweet south dakota closing border california,neutral,neutral
new plandemic video peddles misinformation conspiracies,fear,negative
tweet que dice que una persona puede transmitir la covid19 en cuanto desarrolla síntomas es engañoso,neutral,neutral
kenyan newspaper didnt report coronavirus patients stay weston hotel,neutral,neutral
punishment breaking social distancing possessing indecent images children vary,disgust,negative
faux des vaccins contre le coronavirus ne vont pas être administrés aux enfants de la rdc sous couverture de la rougeole,neutral,neutral
hidroxicloroquina para tratar covid19 hay evidencia concluyente,neutral,neutral
false facts usps finances resurface facebook,neutral,neutral
faux le ministre nigérien de la santé na pas ordonné lachat des respirateurs à un prix exorbitant,anger,neutral
benarkah covid19 singkatan dari certificate vaccination id dan konsep new normal bermuatan lgbt,neutral,neutral
covid19 rules second slavery civil liberties intrusions barr gets wrong,anger,negative
offer free horses 2011 tied covid19,neutral,positive
philippine authorities warn antiviral injection yet approved treating covid19,fear,positive
video edited make look like south africas leader announced 81day lockdown,fear,positive
corona virus torment infidels mercy muslims,anger,positive
pesquisa publicada por cientistas chineses diz que coronavírus tornará maioria dos pacientes sexo masculino infértil é fake news,neutral,negative
experts say eating garlic prevent covid19 onions cure either,neutral,positive
alberto fernández la oms recomienda que uno tome muchas bebidas calientes porque el calor mata al virus,neutral,neutral
los supermercados que abren las 07h00 mayores de 65 años están en argentina en españa,neutral,neutral
la vacuna contra el coronavirus está produciendo sida en australia,neutral,neutral
nocomacuento ni oij ni fuerza pública reportan casos de ladrones disfrazados de médicos enfermeros,neutral,neutral
images currency notes thrown streets italians,neutral,neutral
french doctor urge africans avoid bill gates vaccine,anger,negative
non les hôpitaux ne reçoivent pas une prime de 5 000 euros lorsquils déclarent un décès dû au covid19,neutral,neutral
factcheck audio message claims steam inhalation kills covid19,neutral,negative
plazma tedavisinin ölüm orann yüzde 35 azalttnn kantland iddias,sadness,neutral
spanien nein diese frau wurde nicht von der polizei mit einem taser angegriffen nur weil sie keine maske trug,neutral,neutral
bill gatesin nsan çipleme projesinin durdurulduu ddias,fear,neutral
health authorities warn false covid19 prevention tips online,fear,negative
el vídeo de las bolsas de cadáveres en el suelo está grabado en españa,neutral,neutral
verificamos é falso que governador rs usou hidroxicloroquina azitromicina e ivermectina para tratar covid19,neutral,neutral
maske kullanmnn çocuklar için zararl olduu iddias,sadness,neutral
coronaverschwörung leichenberg stammt aus walking dead,fear,negative
hay ningún paciente con coronavirus en el hospital militar de maracay datoscoronavirus,neutral,neutral
coronavirus misinformation false medical advice spreads iran,anger,negative
hoax circulates online applying vaseline nostrils protect air pollutants,neutral,positive
vox va donar el dinero que reciben por representación en las instituciones la sanidad pública,neutral,neutral
video circulated reports antigovernment protest azerbaijan 2019,anger,negative
coronademo berlin keine belege dass eine schwangere ihr ungeborenes nach einem polizeieinsatz verloren hat,neutral,neutral
covid19 cette offre gratuite de netflix est fausse,sadness,neutral
book predicted outbreak coronavirus says kim kardashian,neutral,neutral
gobierno ha aprobado despidos colectivos por coronavirus,neutral,positive
arahan menggesa supaya ibu bapa dan pelajar yang beraya di daerah kubang pasu jalani ujian saringan covid19 adalah palsu,neutral,neutral
coronavirus laudio whatsapp di martina la cardiologa di milano false notizie denunciata,neutral,neutral
non la france ne dépense pas cinquante fois plus pour la défense que pour la santé,disgust,neutral
verificamos es falso que el hospital de campaña del anhembi en sp está vacío,neutral,neutral
esta infografía que anuncia nuevas medidas sobre la covid19 en cataluña es un documento de la generalitat,neutral,neutral
dolo en una foto sobre el covid19 en santa cruz,neutral,neutral
facebook users wrongly tie dog vaccine novel coronavirus,neutral,positive
tweet false reporting shooting people virus china,anger,neutral
evidence supporting claims governmentrun network fake nhs twitter accounts,anger,negative
new misinformation circulates online asia creation vaccine drug covid19,neutral,negative
russias putin hasnt backed trumps decision freeze funding evil,sadness,negative
esta imagen en la que miembros del gobierno están hablando sin respetar la distancia social es actual es del pasado 30 de enero,neutral,negative
photo circulated online since 2017 two years novel coronavirus outbreak,neutral,positive
photo taken li keqiangs visit quakestricken sichuan 2013,neutral,neutral
wuhan fire officials say video shows apartment fire sparked discarded cigarette,anger,negative
garlic water benefits curing coronavirus one,neutral,positive
covid19 le margousier neem ne contient pas de la chloroquine,neutral,neutral
coronavirus photos videos viral false organ trading dead bodies claim,disgust,negative
non composer un code secret ne permet pas de savoir si son téléphone est espionné,neutral,neutral
marathi newspaper lokmat falls fake covid19 bioweapon story,neutral,negative
hoax vodacom offering tsh80000 mpesa users covid19 relief,neutral,positive
photo published online 2018 two years deadly coronavirus outbreak,fear,neutral
non ces infirmiers nont pas posé avec une banderole insultant les policiers lien signalé par facebook,anger,neutral
us biotech company says covid19 vaccine development phase,neutral,neutral
tv news report prompts unfounded attacks michigan governor,fear,negative
nuance sur les propos de loms 80 dafricains contractent le coronavirus sans symptômes,neutral,neutral
jk rowling announced recovered coronavirus due breathing technique,joy,positive
images baby birth defect falsely linked coronavirus,sadness,negative
el país ha publicado que los colegios en bizkaia cierran hasta septiembre,neutral,positive
cardinal malcom ranjith didnt file fr petition challenging cremation catholics due covid19,sadness,positive
hay un niño que viene de china que ha dado positivo en coronavirus en un hospital como dice este audio en gallego 12220,neutral,positive
false covid19 test survival rate claims resurface,neutral,neutral
el vicepresidente de estados unidos mike pence ha donado cajas vacías de epi un centro de salud,neutral,positive
fact check aborted male fetus confirmed covid19 vaccine,neutral,neutral
fibrose nos pulmões ao respirar e coronavírus é fake news,fear,negative
non ce scientifique américain na pas été arrêté pour avoir vendu le covid19 à la chine,sadness,neutral
nein das coronavirus ist deutschland derzeit nicht die einzige todesursache,neutral,negative
es falso que el decreto que establece la cuarentena fuera planeado para durar 1 año,neutral,neutral
verificamos é falso que mortos infectados pelo novo coronavírus sempre têm covid19 como causa óbito,fear,neutral
videonun covid19 sonras yeniden açlan mescidi nebeviye koan insanlar gösterdii iddias,neutral,neutral
says since president trump took office policies led unemployment rate 31 wisconsin 61000 wisconsin jobs including 15000 manufacturing jobs,sadness,negative
trumps partisan spin reopening states,neutral,neutral
faux madagascar na pas quitté loms et na pas appelé les pays africains à le faire,neutral,neutral
nein der coronasonderfonds wurde bayern nicht schon 2019 beschlossen,sadness,neutral
tanzanias health minister announced covid19 tweet fake,neutral,negative
vera files fact check viral fb post claiming canada covid19 free false,neutral,positive
han cerrado el ambulatorio de el cachorro de sevilla por un posible afectado por coronavirus,fear,neutral
coronavirus falsi documenti del governo regione lombardia e inps che circolano su whatsapp,anger,neutral
foetal cells astrazeneca covid19 vaccine,neutral,negative
hay homenajes con ejército banda de música de la policía municipal todos los días en ifema el vídeo es de un homenaje puntual por el día de la salud,neutral,neutral
dexamethasone covid19 vaccine evidence causes infertility,neutral,neutral
message claiming coronavirus last 8 hours air misleading,anger,negative
es falso que en italia han muerto 232 niños por el coronavirus,neutral,neutral
verificamos es falso que una patente prueba que las farmacéuticas esparcieron el nuevo coronavirus para vender vacunas,neutral,neutral
false catch legionnaires disease pleurisy wearing face covering,neutral,neutral
la pérdida de olfato gusto son síntomas del covid19,neutral,neutral
désintox covid19 loms bien critiqué la france pour stratégie de dépistage,neutral,neutral
non cette vidéo ne prouve pas que larmée sera déployée à montréal,sadness,neutral
