,tweet,max_emotion,sentiment
112,fact check police beat man hoisted blue flag independence day,anger,neutral
113,fact check claim accident damages would covered pollution certificate valid false,anger,negative
114,fact check indian army attack chinese soldiers grenades,anger,negative
115,fact check claim infrared thermometer guns damage pineal gland false,neutral,negative
116,true israel developed superquick saliva test covid19 yet approved,neutral,positive
117,msg claiming images lord ram ram mandir displayed ny billboard true,neutral,positive
118,fact check video claiming france farewell rafale false,neutral,neutral
119,fact check claim notification filling posts panchayat district council false,neutral,neutral
120,fact check derogatory painting lord krishna removed guwahati gallery 5yo,anger,neutral
121,fact check viral image tricolour srinagar̢s lal chowk false,neutral,neutral
122,fact check lokesh̢s claim journo kunchala picked cops commenting ap policies false,neutral,neutral
123,french president̢s message twitter congratulating india acquiring rafale jets false,anger,neutral
124,fact check mars appear big moon aug 27 false,neutral,neutral
125,fact check social media users share old photos maskless biden harris false claims,neutral,positive
126,fact check abp journalist̢s claims viral video shows moulvi kissing bride false,anger,positive
127,fact check medals undivided map india given soldiers participating wwii,neutral,neutral
128,fact check viral claim pm narendra modi following twitter profile japanese woman false,neutral,neutral
129,fact check communallycharged posts claiming fruit juice seller laced juice vasectomy meds false,neutral,neutral
130,fact check claims 40 victims kerala plane crash tested covid19 false,sadness,negative
131,fact check mughal gardens name changed dr rajendra prasad garden false,neutral,neutral
132,fact check story muslim man adopted orphan sisters married according hindu rituals false,neutral,neutral
133,fact check hindu deities inscribed east india company coins false,neutral,neutral
134,fact check digitally manipulated video claims missile led beirut explosion,neutral,negative
135,fact check viral video showing floodwater entering bus delhi jaipur,neutral,neutral
136,fact check viral video young man hospital bed pakistan uttar pradesh,neutral,neutral
137,fact check purported news 18 article 57 deaths ̢comdek uget̢ fake,neutral,negative
138,fact check viral image beautiful structure ayodhya̢s ram temple delhi̢s akshardham temple,joy,positive
139,fact check viral picture people eating food banana leaves kerala new zealand,neutral,neutral
140,fact check ̢ oprah winfrey support child abuse,sadness,negative
141,fact check viral message kidney donation hoax,neutral,negative
142,whatsapp message offering money alleged palliative funds un false,anger,neutral
143,fact check photo showing miserable living conditions indian slums bangladesh,sadness,negative
144,fact check news demise former president pranab mukherjee false,neutral,neutral
145,fact check 2011 video attack prashant bhushan resurfaced backdrop contempt case,anger,negative
146,fact check raam expensive currency world ̢bearer bond̢,neutral,neutral
147,fact check viral claims jobs available indian railways outsourcing basis false,neutral,neutral
148,modi release ramayana stamps ahead ram mandir bhoomi pujan,neutral,neutral
149,fact check claim ram mandir trust chief testing positive covid19 true,neutral,positive
150,fact check iaf pilot hilal ahmad rather fly rafale jet france india,neutral,neutral
151,picture showing ratneshwar temple varanasi leaning 9 degree true,neutral,positive
152,fact check media hide reliance acquisition hamleys toys,neutral,negative
153,fact check viral image cable car fire accident palestine haridwar,fear,negative
154,fact check claim supreme court changed motto false,anger,positive
155,fact check women receiving money old video shaheen bagh protestors victims delhi riots,anger,negative
156,fact check kurnool sp issue letter recently sugali preethi̢s death case,sadness,negative
157,true tricolour hoisted first time niagara falls mark indian independence day,joy,positive
158,girl receiving covid19 vaccine shot viral video putin̢s daughter,joy,neutral
159,fact check pictures bad roads west bengal shared,sadness,negative
160,fact check claims recommend wearing masks covid19 false,anger,positive
161,fact check outdated guidelines wearing face masks circulating social media,neutral,neutral
162,fact check video two women beaten mob related communal discrimination,anger,negative
163,fact check andhra̢s deputy cm hoist tricolour upside,neutral,neutral
164,fact check pr stunt tv channel leads police warning phone starting 140,fear,negative
165,fact check distance gandhi green thread cannot determine rs 500 note genuine fake,neutral,negative
166,fact check delhi youth congress falsely passes photo janata curfew students protest,anger,negative
167,fact check south indian actor̢s picture shared doctor succumbed covid19,sadness,positive
168,fact check adani group̢s punjab grain storage set farm bills passed,neutral,neutral
169,fact check video claiming unemployed youth blocked cm yogi adityanath̢s convoy lucknow false,anger,negative
170,fact check viral photo colombia bus image ambedkar wife fake,neutral,negative
171,fact check amitabh bachchan visited haji ali dargah recovering coronavirus false,neutral,neutral
172,fact check man seen amitabh bachchan viral photo cong leader ashok chavan dawood ibrahim,neutral,neutral
173,fact check picture home minister amit shah sitting sadhus photoshopped,surprise,neutral
174,fact check amul̢s ̢rangeela makhan̢ ad 1995 goes viral kangana̢s remarks urmila,neutral,neutral
175,fact check janshakti party leader passed congress mla anil upadhyay viral video,neutral,positive
176,fact check claim ts govt included chapter ntr 10th class textbooks recently false,neutral,neutral
177,fact check viral claim bin laden̢s daughter̢s marriage bhojpuri singer false,neutral,neutral
178,fact check bjp̢s infographic showing india̢s 19 growth based old imf data,neutral,positive
179,fact check congress leaders share old video bjp leader arrested raping daughter,neutral,negative
180,fact check viral image tirumala hills church watch tower forest department,neutral,neutral
181,fact check viral claim yogi adityanath told hindus exhume bodies muslim women rape false,anger,negative
182,fact check dalit family attacked refusing chant jai shri ram,anger,negative
183,fact check man viral photo ranveer singh deepika padukone dawood ibrahim,neutral,neutral
184,fact check deepika wear profarmers tshirt ncb questioning,neutral,negative
185,fact check video bjp leader threatening judges dance india dance prank,fear,negative
186,fact check video showing drone delivering goods lagos 3dgenerated,neutral,neutral
187,fact check viral picture claiming latest farmers̢ protest old one,anger,negative
188,fact check viral picture old man aiming stone cop dates back 2013,neutral,neutral
189,fact check photos 2017 rajasthan farmers̢ rally shared recent farmers̢ protest haryana,anger,positive
190,fact check video cruise ship greece passed ferry service started pm modi,neutral,neutral
191,fact check ̢ claim govt giving free smart phones students false,neutral,positive
192,fact check viral claim us economy contracted india false,neutral,neutral
193,fact check viral claim government distributing free laptops students fake,anger,positive
194,fact check claim govt providing money bereaved families covid19 victims false,anger,negative
195,fact check image claiming govt losing rs 2600 cr due scribbled notes false,neutral,negative
196,fact check viral claim rafale jet crashed ambala airbase fake,anger,negative
197,fact check centre providing rs 2000 girl child pm kanya ayush yojana,neutral,neutral
198,fact check iceland country without mosquitoes,neutral,neutral
199,fact check four year old video chinese loudspeaker related ladakh standoff,neutral,neutral
200,fact check video showing tallest indian flag wagah border hyderabad̢s tank band,surprise,neutral
201,fact check pakistani website hacked indian cyber troops wish pk birthday,surprise,neutral
202,man viral video urging muslims set targets owner himalaya drug co,anger,neutral
203,fact check islamic party flag mistaken pakistani flag bangalore traffic police,neutral,positive
204,fact check viral picture claiming army scaled kailash mansarovar false,neutral,neutral
205,fact check viral image shows kangana mark manuel abu salem,neutral,neutral
206,fact check viral photo hindumuslim couple bjp leader kapil mishra̢s sister brother law,neutral,neutral
207,fact check viral photo showing karni sena mumbai support kangana false,neutral,positive
208,fact check sambit patra̢s claim 2611 terrorist ajmal kasab fed biryani jail false,neutral,negative
209,telangana cm kcr wear sandals inside yadadri temple,neutral,neutral
210,fact check photo showing rss man beaten kerala web series,sadness,negative
211,fact check kerala man pinned police la george floyd congress worker bjp activist,neutral,neutral
212,fact check kolkata knight riders acquire 128 stake reliance retail,neutral,neutral
213,fact check picture showing charred body open coffin indeed vladimir komarov,anger,neutral
214,fact check viral video man jumping flood water indore pakistan,neutral,neutral
215,fact check viral image mi17 chopper crash kedarnath ladakh,fear,negative
216,fact check video pm modi celebrating birthday false,neutral,positive
217,fact check viral image pm modi white gown morphed,neutral,neutral
218,fact check viral picture mosque claiming mumbai mp,neutral,neutral
219,fact check tweet demanding boycott amitabh bachchan jaya bachchan fake twitter handle mukesh khanna,anger,negative
220,fact check image bruised assam mla resurfaces false communal spin,sadness,neutral
221,fact check tweets dr kafeel khan wife fake twitter accounts,neutral,negative
222,fact check three ips officers viral photo siblings,neutral,neutral
223,fact check thackeray̢s tweet claiming kangana receive grand welcome return mumbai false,neutral,positive
224,fact check video claiming mp public shouted kamal nath better option shivaraj cm doctored,neutral,positive
225,fact check collage rakhi sawant pictures embracing pakistani flag movie shot 2019,joy,neutral
226,fact check video chinese tourists pangong tso lake shared misleading claims,neutral,negative
227,fact check pmo disable youtube comments ̢mann ki baat̢ avoid backlash neetjee aspirants,anger,negative
228,fact check rahul gandhi cutting cake congress foundation day passed manmohan singh̢s birthday,surprise,negative
229,fact check 2019 photo punjab railway employees̢ protest shared false claims,anger,positive
230,fact check raj thackeray̢s tweet uddhav kangana false,neutral,neutral
231,fact check bell viral image ayodhya ram mandir,neutral,neutral
232,fact check ranveer singh didn̢t request ncb allow deepika questioning,neutral,positive
233,fact check yes telangana man gets tattoo cyberabad cp sajjanar arm,neutral,positive
234,fact check yes indian govt launched online health consultation scheme,neutral,positive
235,claims sarais act allows individual use washroom hotel free true,neutral,positive
236,fact check michibiki satellite japan connection earthquake felt mumbai srinagar,fear,neutral
237,fact check tweets posted satishmaneshnde official handle rhea chakraborty̢s lawyer,neutral,neutral
238,fact check raj thackeray̢s wife come defence kangana ranaut,neutral,positive
239,fact check horsehair worm falsely claimed shiva naga tree roots,neutral,neutral
240,fact check viral video shoe thrown madhya pradesh cm shivraj singh chouhan dates back 2018,anger,neutral
241,fact check viral video shiv sainiks assaulting man dates back 2019,anger,negative
242,fact check viral picture creature humanlike face artistic work real,neutral,neutral
243,fact check sood conferred special humanitarian award punjab̢s dept planning undp,neutral,positive
244,fact check viral msg sp balasubrahmanyam̢s family able pay hospital bills false,neutral,negative
245,fact check indeed last virtual concert spb unverifiable contracted virus prog,neutral,neutral
246,fact check viral claim statue dalit soldier beheaded gujarat false,anger,neutral
247,fact check steam pressure cooker cure covid19,neutral,negative
248,fact check true woman sorting vegetables raghavendra mutt sudha murthy,neutral,positive
249,fact check claim actor suriya converting islam false,neutral,neutral
250,fact check cream tartar provide relief migraine,neutral,positive
251,fact check andhra pradesh government̢s third standard telugu textbook lesson jesus,neutral,neutral
252,fact check old picture injured tn constable resurfaces false communal spin,sadness,negative
253,fact check claim tn high court changed motto tamil hindi false,anger,neutral
254,fact check image showing canadian pm holding tshirt slamming imposition hindi fake,neutral,negative
255,fact check viral post police beating students contains old pictures,anger,negative
256,fact check claim providing scholarships false,anger,neutral
257,fact check video claiming kidnapping vikarabad woman indeed kolar incident,neutral,neutral
258,fact check viral photo maharashtra̢s first muslim woman sp false,neutral,neutral
259,fact check photo showing lalu̢s son inaugurating bahrupiya kala kendra morphed,neutral,neutral
260,fact check morphed pic former cm akhilesh yadav rjd leader tej pratap goes viral,neutral,neutral
261,fact check amit shah flown ny cancer treatment,fear,negative
262,fact check true director balika vadhu selling vegetables azamgarh,neutral,positive
263,fact check viral video girl hit car durgam cheruvu bridge,surprise,neutral
264,fact check old unrelated images passed farmers agitation amaravati,neutral,negative
265,fact check claim priyanka gandhi wearing cross instead ̢mangalsutra̢ false,neutral,neutral
266,fact check claim new 200rs notes printed sivaji maharaj̢s picture false,neutral,neutral
267,fact check old pictures saraswati idol desecration circulated incite communal tension ap,anger,negative
268,fact check bjp leader dilip ghosh shares old picture bihar claiming west bengal farmers supporting pm modi,neutral,positive
269,fact check viral video hyderabad floods date back september 2019,neutral,neutral
270,fact check expm lal bahadur shastri̢s wife repaid rs 5k loan taken pnb death,sadness,negative
271,fact check old pictures water gushing railway bridge shared false claims,anger,positive
272,fact check viral statement attributed former chief minister akhilesh yadav fake,neutral,negative
273,fact check viral video traffic signal washed away hyderabad flood china,neutral,neutral
274,fact check viral video claiming covid19 vaccine contains microchip altered,neutral,neutral
275,fact check claim raksha bandhan banned kerala false,neutral,negative
276,fact check top army officer lt general taranjit singh arrested,neutral,negative
277,fact check viral picture rahul priyanka gandhi laughing clicked last year hathras visit,joy,positive
278,fact check viral video rickshaw puller crying vehicle seized india,neutral,negative
279,fact check viral image bald woman insta blogger kyrzayda rodriguez,neutral,neutral
280,fact check netizens wrongly expressed condolences ex cm mulayam singh yadav place sp veteran,anger,neutral
281,fact check kashmiri journalist fayaz bukhari misidentified ndtv journalist ravish kumar viral video,neutral,neutral
282,fact check photo bjp worker murdered tmc goons west bengal 2018,sadness,negative
283,fact check viral video bjp mp attacked resurfaced 2016 false claims,neutral,negative
284,fact check mob thrashing man viral video mp congress leader bjp activist bengal,anger,neutral
285,fact check kerala gold smuggling protests passed farmers̢ agitation,anger,negative
286,fact check bjp leader falsely shown father accused hathras rape,anger,negative
287,fact check morphed photo shows police protesting lathicharge,anger,negative
288,fact check woman wrapped barbed wire protesting hathras incident,anger,negative
289,fact check social media users falsely claim wood carving mecca singaporean firm made artist,neutral,neutral
290,fact check viral pictures woman police constable raped killed punjab false,anger,negative
291,fact check viral video crocodile residential area gujarat hyderabad,neutral,neutral
292,fact check yogi adityanath say ̢thakurs make mistakes̢,neutral,neutral
293,fact check congress leader passed 2019 image caa protest antirape violence lucknow,anger,negative
294,fact check yes india̢s first vertical lift railway sea bridge construction pamban tamil nadu,neutral,positive
295,fact check actorturned chandigarh bjp mp kirron kher say rape part indian culture,neutral,negative
296,fact check rhea chakraborty tweet bail it̢s parody account,neutral,neutral
297,fact check tollywood star pawan kalyan provided z security centre,neutral,positive
298,fact check claims swiss squash player ambre allinckx̢s refusal play india due safety reasons false,anger,positive
299,pakistan̢s ruling party pti tweets old kashmir video claims violence article 370,anger,negative
300,fact check purported news bulletin circulated online add,neutral,neutral
301,pakistan pm̢s nephew posting videos kashmir ̢ old unrelated,neutral,neutral
302,fact check unrealistic animal spotted fields near rajasthan,neutral,neutral
303,̢muslims̢ didn̢t kill ̢hindu̢ man viral video attack result family feud,anger,negative
304,fact check video rickshaw puller crying authorities seize rickshaw india,fear,negative
305,women photo ̢victims love jihad̢ caught running ̢sex racket̢,anger,positive
306,fact check disturbing video 3 year ago shared false,anger,negative
307,us army didn̢t play indian national anthem ̢howdy modi̢ event,neutral,positive
308,fact check amartya sen say pubg ban hit indias economy,sadness,negative
309,shivraj singh chouhan fake fractured arm viral photo mirrored image,sadness,negative
310,news portals run headlines based rhea chakrabortys fathers fake twitter account,neutral,negative
311,youth tried kill hindu girl jharkhand isn̢t ̢muslim̢ viral video claimed,anger,negative
312,fact check tata motors launched cab service compete,neutral,positive
313,fact check bahrain king robot bodyguard,neutral,neutral
314,actor tweets 2017 image kashmiri child situps says kashmirbleeds,neutral,neutral
315,fact check viral abp news image claiming govt cutting scholarships owing budget shortage,neutral,negative
316,injured infants images viral social media victims citizenship act protests,anger,negative
317,fact check times airs public webinar footage acquired,neutral,neutral
318,viral video false rahul gandhi didn̢t credit mahatma gandhi̢s nonviolence islam,anger,positive
319,fact check old photo military exercise shared visuals recent clash ladakh,neutral,positive
320,grand welcome tamil nadu plogging ̢photoop̢ modi fans critics fuel twitter hoaxes,joy,positive
321,fact check location 3 idiots shooting ladakh taken china,neutral,neutral
322,toll gate receipts won̢t help medical emergency viral message complete hoax,neutral,negative
323,fact check rafale aircraft crash formal induction,fear,negative
324,pakistan social media scores goal viral video ̢indian army̢ raising white flag,joy,neutral
325,fact check viral post attributes false statement schools reopening education minister,neutral,neutral
326,viral ̢loc firing̢ video shared diwali wish nothing terror camp strike,fear,positive
327,fact check icmr suggest ivermectin covid19,neutral,neutral
328,2016 image severely injured man shared jnu student protested fee hike,sadness,negative
329,fact check old footage rampant cheating bihar school examination shared neet 2020,disgust,negative
330,fact check viral photo show dr rajendra bharud mother,neutral,neutral
331,rs 133 cr 133 cr ̢ up̢s ayodhya diwali got bad press due misreporting media,sadness,negative
332,viral video hailing kejriwal online school attendance actually pakistan,joy,neutral
333,fact check morphed photo shared indian army capturing kailash mountain,neutral,positive
334,video pakistan shared muslim youths robbing couple mumbai,anger,positive
335,fact check incident honor killing falsely shared love jihad,anger,positive
336,unnao farmer beaten police wasn̢t unconscious congress used clipped video,sadness,negative
337,fact check shiv sena goons assault idbi bank employee maharashtra,anger,negative
338,baghdadi death nothing ̢pressure̢ modi viral news18 poster fake,fear,negative
339,fact check government recording calls,neutral,neutral
340,viral photo exaap leader alka lamba pointing congress symbol tshirt fake,neutral,negative
341,sudarshan tv claims muslims get 3 years relaxation hindus upsc true,neutral,positive
342,̢hyderabad encounter̢ image going viral 2015 andhra police killed woodcutters,anger,negative
343,fact check unrelated photographs shared recent farmer protest haryana punjab,anger,positive
344,congress posts wrong image wish indian navy day deletes tweet flak,anger,negative
345,i̢ll make kyrgyzstan 1 country world modi,joy,neutral
346,fact check old unrelated photo apparently show gods treated amid covid19 pandemic,neutral,neutral
347,it̢s tukaram omble viral 2611 image actor played film,neutral,positive
348,fact check painting sai baba shared rare original photograph,neutral,positive
349,image bloodsplattered policemen citizenship law protests it̢s 2018,anger,negative
350,fact check fake claim nirav modi saying forced congress escape country,neutral,negative
351,video muslim girl kicked lawyers shared ̢hindu rape victim̢ beaten pakistan,anger,negative
352,fact check amul mock urmila matondkar comments kangana ranaut,anger,negative
353,video showing thousands protesting mumbai cab actually bangladesh,anger,negative
354,fact check kangana ranaut claims forced vote shiv,neutral,negative
355,sheep ireland go weeklong sex drive drinking viagra contaminated water,anger,neutral
356,viral video us airstrike killed qassem soleimani video game,anger,negative
357,fact check ani claims muslim community celebrated pm modis birthday outside nizamuddin markaz,joy,positive
358,amu students raise ̢antihindu̢ slogans raised voice hindutva,neutral,neutral
359,fact check old photos revived claim police brutality recent,anger,negative
360,bjp leaders share 8yrold image tunnel us atal tunnel inaugurated pm modi,neutral,positive
361,tarek fatah gets wrong video muslims shouting ̢islam zindabad̢ kolkata,anger,negative
362,raghuram rajan win us gold medal shobhaa de,joy,positive
363,slow moving queue sarkari bank,neutral,neutral
364,imran khan tweets old dhaka video ̢police atrocities up̢ deletes gets slammed,anger,neutral
365,fact check unrelated video shared show plight uighur muslims china,sadness,positive
366,marriage certificate mandatory buying condom dr harshvardhan,neutral,positive
367,fact check viral photos shared false claim queen radhika raje baroda become jain,neutral,positive
368,indian army kill ̢unarmed kashmiris̢ video mock drill jharkhand police,anger,negative
369,fact check viral posts ask boycotting shah rukh khan movie doesnt exist,anger,negative
370,muslims pok burning pakistani flags ̢ it̢s 3yearold clip uttar pradesh,anger,neutral
371,fact check us economy perform worse india apriljune quarter,sadness,negative
372,pakistani minister shares lathicharge video ram rahim supporters torture kashmiris,disgust,positive
373,fact check woman police officer refuse wear police uniform owing faith,anger,positive
374,video crowded opd delhi̢s rml aiims patna victoria hospital bengaluru,surprise,neutral
375,even ed clarification link pfi bhim army rumor,neutral,neutral
376,abvp members opposing citizenship act it̢s doctored photo,anger,neutral
377,fact check pm modi celebrate birthday industrialists year,joy,positive
378,video kulgam blast passed army action jk post scrapping 370,surprise,positive
379,fact check indian media falsely reports taiwan shot chinese fighter aircraft,neutral,positive
380,fact check photo bangladesh passed need population law india,neutral,neutral
381,fact check misleading whatsapp forward says govt insurance scheme may availed covid19 deaths,neutral,negative
382,incoming call iphone can̢t set steel wool fire viral video edited,neutral,negative
383,fact check old video shared claim dalit farmers burnt alive amid protests,anger,positive
384,steps india taking bring back black money,neutral,neutral
385,fact check mahesh bhats lashing video old unrelated fans reaction upcoming,neutral,neutral
386,rahul kanwal say chanting vande mataram antinational video edited,neutral,neutral
387,fact check scene movie passed ips officers kneeling front politician,surprise,neutral
388,india soon export delhi mumbai air usa,neutral,neutral
389,fact check viral photo 1919 show bhagat singh,joy,neutral
390,man stripped naked beaten ̢teasing̢ minor girls viral video muslim,disgust,negative
391,fact check videos showing manhandling woman shared claiming high,disgust,positive
392,tarek fatah unrelenting fake news peddler targets indian muslims regularly,anger,negative
393,fact check old photo shared state crackdown recent farmers,anger,positive
394,fact check vfx video shared glimpse recent protests belarus,neutral,positive
